"Date","GRMN.Open","GRMN.High","GRMN.Low","GRMN.Close","GRMN.Volume","GRMN.Adjusted"
2020-01-02,97.620002746582,98.4700012207031,97.379997253418,98.3399963378906,828000,85.2885818481445
2020-01-03,97.2699966430664,98.1699981689453,97.2699966430664,97.7099990844727,503800,84.7421875
2020-01-06,97.4000015258789,98.0599975585938,96.7600021362305,97.6900024414062,686200,84.7248382568359
2020-01-07,97.75,98.0500030517578,97.2200012207031,97.5400009155273,781200,84.5947570800781
2020-01-08,97.4700012207031,98.0299987792969,96.9599990844727,97,1080000,84.1264038085938
2020-01-09,97.6699981689453,97.7900009155273,96.879997253418,97.4000015258789,750100,84.4733276367188
2020-01-10,97.5299987792969,97.5800018310547,96.4100036621094,96.5,387800,83.6927947998047
2020-01-13,96.9700012207031,97.5999984741211,96.6999969482422,97.5899963378906,559500,84.6381149291992
2020-01-14,97.4000015258789,97.620002746582,96.9100036621094,97.2900009155273,788800,84.3779296875
2020-01-15,97.8199996948242,97.870002746582,96.9599990844727,97.1900024414062,736400,84.2912139892578
2020-01-16,97.75,98.7300033569336,97.6399993896484,98.4700012207031,699800,85.4013366699219
2020-01-17,98.4000015258789,99.2399978637695,98.0599975585938,99.0400009155273,1855000,85.8956680297852
2020-01-21,99.1500015258789,101.150001525879,98.9599990844727,100.589996337891,1115200,87.2399597167969
2020-01-22,100.970001220703,101.309997558594,100.080001831055,100.220001220703,502800,86.9190826416016
2020-01-23,100.110000610352,100.809997558594,99.6399993896484,100.559997558594,500200,87.2139282226562
2020-01-24,100.620002746582,100.970001220703,99.1500015258789,99.5899963378906,423400,86.3726806640625
2020-01-27,98.2600021362305,99.120002746582,97.5100021362305,98.4300003051758,923700,85.3666381835938
2020-01-28,99.7399978637695,102.419998168945,99.0199966430664,101.919998168945,826100,88.3934478759766
2020-01-29,102.349998474121,102.349998474121,100.51000213623,100.529998779297,568100,87.1879348754883
2020-01-30,99.870002746582,100.169998168945,98.1800003051758,99.3199996948242,516500,86.1385269165039
2020-01-31,98.9700012207031,99.1999969482422,96.8399963378906,96.9499969482422,618600,84.0830459594727
2020-02-03,97.5199966430664,98.9100036621094,97.4000015258789,98.120002746582,702700,85.097785949707
2020-02-04,99.2900009155273,99.75,98.7099990844727,98.8499984741211,585300,85.7308807373047
2020-02-05,99.2099990844727,99.9800033569336,97.6999969482422,98.0400009155273,775800,85.0283966064453
2020-02-06,98.4599990844727,98.7300033569336,97.7799987792969,97.8499984741211,615500,84.8636245727539
2020-02-07,97.6699981689453,97.9800033569336,95.9199981689453,96.1999969482422,734400,83.4325790405273
2020-02-10,96.0199966430664,98.0999984741211,95.8499984741211,97.7099990844727,591100,84.7421875
2020-02-11,97.5800018310547,98.2600021362305,97.3899993896484,98.0400009155273,463400,85.0283966064453
2020-02-12,98.0999984741211,99,96.9400024414062,97.8099975585938,391300,84.8289108276367
2020-02-13,97.5500030517578,98.5,97.1999969482422,98.3000030517578,474400,85.2538909912109
2020-02-14,98.1399993896484,98.4499969482422,97.5699996948242,98.1800003051758,373900,85.1498107910156
2020-02-18,98.4400024414062,98.7200012207031,96.8399963378906,97.120002746582,1222700,84.2304992675781
2020-02-19,103.870002746582,105.580001831055,101.779998779297,103.669998168945,2959100,89.9112014770508
2020-02-20,103.5,103.949996948242,98.4100036621094,99.8099975585938,1307800,86.5634994506836
2020-02-21,99.3300018310547,99.620002746582,96.5,96.5800018310547,944000,83.7621459960938
2020-02-24,94.4700012207031,95.6999969482422,92.8199996948242,95.3600006103516,1044300,82.7040786743164
2020-02-25,95.4599990844727,96.5400009155273,91.2300033569336,92,1183700,79.7900085449219
2020-02-26,91.4499969482422,93.5400009155273,90.3199996948242,90.379997253418,970800,78.3850250244141
2020-02-27,89.5899963378906,91.2600021362305,88.5100021362305,89.2799987792969,1346200,77.4310150146484
2020-02-28,87.7300033569336,88.8600006103516,85.4400024414062,88.3899993896484,2043500,76.6591186523438
2020-03-02,90,93.5500030517578,89.4000015258789,93.4700012207031,1475000,81.0649185180664
2020-03-03,93.6100006103516,94.9400024414062,89.3899993896484,90.0699996948242,1399600,78.1161651611328
2020-03-04,91.4300003051758,93.5199966430664,90.0999984741211,93.4100036621094,881600,81.0128936767578
2020-03-05,91.129997253418,91.4400024414062,87.129997253418,89.379997253418,1512800,77.5177383422852
2020-03-06,86.8300018310547,87.9800033569336,84.9599990844727,87.5199966430664,1114700,75.9045639038086
2020-03-09,81.8399963378906,83.6600036621094,79.5599975585938,81.1600036621094,1173800,70.3886489868164
2020-03-10,83.3600006103516,84.7799987792969,81.0299987792969,84.4199981689453,1289400,73.2160034179688
2020-03-11,82.3499984741211,83.0400009155273,79.4700012207031,80.5100021362305,1103500,69.8249282836914
2020-03-12,75.9499969482422,77.8600006103516,72.379997253418,72.879997253418,1602900,63.2075614929199
2020-03-13,75.0699996948242,77.7200012207031,73.25,77.3399963378906,1430200,67.6043853759766
2020-03-16,69,73.5,67.5,70.8499984741211,1940400,61.9313430786133
2020-03-17,71.7300033569336,75.7300033569336,70.6500015258789,73.9300003051758,1600300,64.6236419677734
2020-03-18,70.3899993896484,71.9599990844727,65.620002746582,71.7099990844727,1270500,62.6830863952637
2020-03-19,71.3899993896484,73.5299987792969,68.8399963378906,70.1100006103516,1091200,61.284496307373
2020-03-20,70.8499984741211,70.8499984741211,65.7099990844727,66.0299987792969,1709000,57.7180938720703
2020-03-23,65.9100036621094,65.9100036621094,61.0400009155273,63.6300010681152,1658400,55.6202125549316
2020-03-24,66.6399993896484,70.8099975585938,65.2200012207031,70.370002746582,1219900,61.5117797851562
2020-03-25,70.4499969482422,73.7900009155273,66.4700012207031,71.7099990844727,1551400,62.6830863952637
2020-03-26,72.1600036621094,74.9499969482422,71.0800018310547,74.2300033569336,1469500,64.8858642578125
2020-03-27,72.0400009155273,76.1800003051758,70.2600021362305,73.5299987792969,1260700,64.2739944458008
2020-03-30,73.870002746582,77.2300033569336,72.4100036621094,76.6900024414062,1117700,67.0362014770508
2020-03-31,76.0400009155273,76.9800033569336,74.5699996948242,74.9599990844727,1023300,65.5239868164062
2020-04-01,71.9899978637695,74.4800033569336,70.2099990844727,71.4100036621094,1244300,62.4208602905273
2020-04-02,70.9100036621094,73.6600036621094,70.629997253418,73.4599990844727,1345900,64.2128143310547
2020-04-03,73.3499984741211,74.0999984741211,70.6500015258789,71.5599975585938,1112400,62.5519523620605
2020-04-06,74.3499984741211,76.1800003051758,74.1100006103516,75.4400024414062,1387900,65.9435348510742
2020-04-07,77.5199966430664,78.4800033569336,73.629997253418,74.2300033569336,1484200,64.8858642578125
2020-04-08,74.6900024414062,77.7300033569336,74.0500030517578,77.3600006103516,1106100,67.6218490600586
2020-04-09,78.7699966430664,79.7399978637695,77.6100006103516,78.6500015258789,1327000,68.7494659423828
2020-04-13,78.5699996948242,78.5699996948242,76.8399963378906,77.8199996948242,1060200,68.0239562988281
2020-04-14,79.2200012207031,82.4100036621094,78.9199981689453,81.9899978637695,1030300,71.6690292358398
2020-04-15,79.9400024414062,80.4100036621094,77.6500015258789,77.9300003051758,1090000,68.1201095581055
