"Date","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted","SMA20","SMA50","SMA200","EMA12","EMA26","RSI","MACD","Signal"
"2020-01-02",93.75,94.9004974365234,93.2074966430664,94.9004974365234,80580000,94.9004974365234,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-03",93.2249984741211,94.3099975585938,93.2249984741211,93.7484970092773,75288000,93.7484970092773,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-06",93,95.1845016479492,93,95.1439971923828,81236000,95.1439971923828,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-07",95.2249984741211,95.6945037841797,94.6019973754883,95.3430023193359,80898000,95.3430023193359,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-08",94.9020004272461,95.5500030517578,94.3219985961914,94.598503112793,70160000,94.598503112793,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-09",95.494499206543,95.890998840332,94.7900009155273,95.0524978637695,63346000,95.0524978637695,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-10",95.2685012817383,95.3470001220703,94,94.1579971313477,57074000,94.1579971313477,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-13",94.5654983520508,94.9000015258789,94.0400009155273,94.5650024414062,55616000,94.5650024414062,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-14",94.2939987182617,94.3554992675781,92.9274978637695,93.4720001220703,68818000,93.4720001220703,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-15",93.6125030517578,93.943000793457,92.7545013427734,93.1009979248047,57932000,93.1009979248047,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-16",94.1494979858398,94.2795028686523,93.3010025024414,93.8970031738281,53190000,93.8970031738281,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-17",94.2945022583008,94.3320007324219,92.8625030517578,93.2360000610352,79946000,93.2360000610352,NA,NA,NA,94.2679996490478,NA,NA,NA,NA
"2020-01-21",93.25,94.7135009765625,93,94.5999984741211,74156000,94.5999984741211,NA,NA,NA,94.3190763913668,NA,NA,NA,NA
"2020-01-22",94.8044967651367,95.125,94.1669998168945,94.3730010986328,64326000,94.3730010986328,NA,NA,NA,94.3273725001769,NA,NA,NA,NA
"2020-01-23",94.255500793457,94.4990005493164,93.6380004882812,94.2289962768555,49692000,94.2289962768555,NA,NA,NA,94.312237696589,NA,46.6094427875494,NA,NA
"2020-01-24",94.5684967041016,94.7494964599609,92.3720016479492,93.0820007324219,75324000,93.0820007324219,NA,NA,NA,94.1229704713326,NA,41.4402462218762,NA,NA
"2020-01-27",91,92.0500030517578,90.7669982910156,91.4169998168945,70570000,91.4169998168945,NA,NA,NA,93.7066672937267,NA,35.3171364110353,NA,NA
"2020-01-28",92.0250015258789,92.9055023193359,91.5009994506836,92.6624984741211,56160000,92.6624984741211,NA,NA,NA,93.5460259368643,NA,42.1974776990817,NA,NA
"2020-01-29",93.1999969482422,93.7375030517578,92.7509994506836,92.9000015258789,41760000,92.9000015258789,NA,NA,NA,93.4466375659435,NA,43.4331222690084,NA,NA
"2020-01-30",92.9000015258789,93.6435012817383,92.5305023193359,93.5339965820312,126548000,93.5339965820312,93.9006744384766,NA,NA,93.4600774145723,NA,46.708107021743,NA,NA
"2020-01-31",102.573501586914,102.786003112793,100.113502502441,100.435997009277,311346000,100.435997009277,94.1774494171142,NA,NA,94.5332958137577,NA,68.255341203608,NA,NA
"2020-02-03",100.529998779297,102.425003051758,100.012496948242,100.209999084473,117834000,100.209999084473,94.500524520874,NA,NA,95.4066347784831,NA,67.2958678116012,NA,NA
"2020-02-04",101.494003295898,102.98999786377,100.768501281738,102.483497619629,105786000,102.483497619629,94.8674995422363,NA,NA,96.4953829078902,NA,71.6181395270634,NA,NA
"2020-02-05",103.551002502441,103.551002502441,101.599998474121,101.993499755859,87524000,101.993499755859,95.2000244140625,NA,NA,97.3412470383469,NA,69.4865938181649,NA,NA
"2020-02-06",102.051002502441,102.815002441406,101.23999786377,102.511497497559,63660000,102.511497497559,95.5956741333008,NA,NA,98.136670185918,NA,70.4866145600882,NA,NA
"2020-02-07",102.099502563477,104.926498413086,101.904998779297,103.963996887207,101906000,103.963996887207,96.0412490844727,NA,NA,99.0331819861163,95.7543067932129,73.14443360798,3.4242587124403,NA
"2020-02-10",104.250503540039,106.779998779297,104.248001098633,106.695503234863,101124000,106.695503234863,96.6681243896484,NA,NA,100.21200063977,96.5647657888907,77.2868575521788,3.77698306528544,NA
"2020-02-11",107.544998168945,109.297500610352,106.800003051758,107.540000915527,114920000,107.540000915527,97.3168743133545,NA,NA,101.339385297578,97.3777461686415,78.3963595737248,4.06832082771362,NA
"2020-02-12",108.160003662109,109.012496948242,107.764503479004,108,66686000,108,98.043274307251,NA,NA,102.364095251797,98.1645797857792,78.9981585414541,4.27803539238125,NA
"2020-02-13",107.249496459961,108.513999938965,107.099998474121,107.493499755859,60636000,107.493499755859,98.7628993988037,NA,NA,103.153234406268,98.855610894674,76.4721479784186,4.34737439048669,NA
"2020-02-14",107.783996582031,107.952003479004,106.294502258301,106.743499755859,52124000,106.743499755859,99.4052242279052,NA,NA,103.70558292159,99.4398989584655,72.7620172456299,4.28971067730681,NA
"2020-02-18",106.250999450684,108.303497314453,106.205497741699,107.783500671387,58912000,107.783500671387,100.132599258423,NA,NA,104.332954883097,100.057943529793,74.6021139043854,4.27253569531061,NA
"2020-02-19",108.389999389648,109.254997253418,108.055999755859,108.511001586914,51224000,108.511001586914,100.828149414062,NA,NA,104.975731299069,100.684095978469,75.8320701275034,4.26247589442339,NA
"2020-02-20",108.653503417969,108.839500427246,106.372497558594,107.654998779297,62626000,107.654998779297,101.492249298096,NA,NA,105.387926296027,101.2004591489,71.4477051922442,4.13779461313073,4.09527658538654
"2020-02-21",107.107498168945,107.227500915527,104.400001525879,104.798500061035,92926000,104.798500061035,102.020724487305,NA,NA,105.297245336798,101.466980697947,59.1563754847953,3.77488776398338,4.03119882110591
"2020-02-24",100.158996582031,101.964996337891,99.3984985351562,100.464500427246,130940000,100.464500427246,102.389849472046,NA,NA,104.553746119943,101.392722900118,46.1764862369997,3.11760363999671,3.84847978488407
"2020-02-25",101.320999145508,101.730003356934,97.9209976196289,98.6370010375977,124382000,98.6370010375977,102.750849533081,NA,NA,103.643477645736,101.188595354746,41.9924652428658,2.42604641598627,3.56399311110451
"2020-02-26",98.5139999389648,100.733497619629,98.0224990844727,98.9794998168945,104492000,98.9794998168945,103.06669960022,NA,NA,102.925942595145,101.024958648238,43.0342388434903,1.88169732741608,3.22753395436682
"2020-02-27",96.7190017700195,98.75,94.1380004882812,94.2149963378906,162880000,94.2149963378906,103.13244934082,NA,NA,101.585797017106,100.52051699562,33.9106061034433,1.05976377094508,2.79397991768247
"2020-02-28",90.7314987182617,94.4879989624023,90.5565032958984,94.1875,189620000,94.1875,103.165124511719,NA,NA,100.447597476013,100.051404625574,33.8659830538877,0.395989293625232,2.31438179287103
"2020-03-02",95.3245010375977,97.7255020141602,93.5,97.6975021362305,135234000,97.6975021362305,103.028199768066,NA,NA,100.024505885277,99.8770414782152,43.9969832696479,0.147645950339981,1.88103462436482
"2020-03-03",98.7685012817383,99.8164978027344,94.4045028686523,95.4495010375977,150690000,95.4495010375977,102.790174865723,NA,NA,99.3206589856342,99.5490755196509,39.7925889579419,-0.229451185583007,1.45893746237525
"2020-03-04",97.328498840332,98.9000015258789,96.0999984741211,98.7914962768555,95458000,98.7914962768555,102.605574798584,NA,NA,99.2392493381298,99.4929585387031,47.7816809034272,-0.255002167288731,1.11614953644246
"2020-03-05",96.6500015258789,98.036003112793,95.5,96.2014999389648,94964000,96.2014999389648,102.315974807739,NA,NA,98.7719032767198,99.2491467905744,43.0176738503433,-0.480854021709243,0.796748824812116
"2020-03-06",93.75,95.5435028076172,93.4749984741211,95.0544967651367,105472000,95.0544967651367,101.943124771118,NA,NA,98.1999945826301,98.9384319738753,41.0649860852883,-0.746360515840983,0.488126956681496
"2020-03-09",88.693000793457,93.1384963989258,88.0644989013672,90.0305023193359,156264000,90.0305023193359,101.246450042725,NA,NA,96.9431496190464,98.2785853327983,33.8228690195367,-1.35882675684614,0.118736213975968
"2020-03-10",93.5439987182617,94.7135009765625,90.9085006713867,94.5910034179688,142666000,94.5910034179688,100.64122505188,NA,NA,96.5812809727267,98.005431116885,43.5542257411307,-1.4531339007731,-0.195637808973845
"2020-03-11",92.8925018310547,93.5660018920898,90.0749969482422,91.0429992675781,112496000,91.0429992675781,99.8163749694824,NA,NA,95.7292376334731,97.4896954243437,38.7768027707437,-1.80578858432977,-0.51766796404503
"2020-03-12",86.0989990234375,88.25,83.75,83.8304977416992,226924000,83.8304977416992,98.6078998565674,NA,NA,93.8986622655079,96.4779030034071,31.268288811059,-2.67340049649313,-0.94881447053465
"2020-03-13",87.75,89.3154983520508,84.0309982299805,89.25,176194000,89.25,97.6957248687744,97.4651095581055,NA,93.1834834554297,95.9425027809325,40.5789492647598,-2.87570080572374,-1.33419173757247
"2020-03-16",82.0755004882812,87.9725036621094,81.3014984130859,84.4574966430664,178346000,84.4574966430664,96.5814247131348,97.2562495422363,NA,91.8410239458354,95.091761585535,35.9421802870927,-3.41852710003233,-1.75105881006444
"2020-03-17",88.7734985351562,92.8889999389648,84.4619979858398,90.3919982910156,218342000,90.3919982910156,95.7118495941162,97.1891195678711,NA,91.6180969220169,94.7436309711262,44.4124748243506,-3.29893842686034,-2.06063473342362
"2020-03-18",87.5,92.0830001831055,87.25,91.5,192904000,91.5,94.8612995147705,97.1162396240234,NA,91.5999281647836,94.503362010302,45.8520980744498,-3.07230746478832,-2.26296927969656
