"Date","GRMN.Open","GRMN.High","GRMN.Low","GRMN.Close","GRMN.Volume","GRMN.Adjusted","SMA20","SMA50","SMA200","EMA12","EMA26","RSI","MACD","Signal"
"2020-01-02",97.620002746582,98.4700012207031,97.379997253418,98.3399963378906,828000,85.2885818481445,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-03",97.2699966430664,98.1699981689453,97.2699966430664,97.7099990844727,503800,84.7421875,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-06",97.4000015258789,98.0599975585938,96.7600021362305,97.6900024414062,686200,84.7248382568359,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-07",97.75,98.0500030517578,97.2200012207031,97.5400009155273,781200,84.5947570800781,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-08",97.4700012207031,98.0299987792969,96.9599990844727,97,1080000,84.1264038085938,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-09",97.6699981689453,97.7900009155273,96.879997253418,97.4000015258789,750100,84.4733276367188,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-10",97.5299987792969,97.5800018310547,96.4100036621094,96.5,387800,83.6927947998047,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-13",96.9700012207031,97.5999984741211,96.6999969482422,97.5899963378906,559500,84.6381149291992,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-14",97.4000015258789,97.620002746582,96.9100036621094,97.2900009155273,788800,84.3779296875,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-15",97.8199996948242,97.870002746582,96.9599990844727,97.1900024414062,736400,84.2912139892578,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-16",97.75,98.7300033569336,97.6399993896484,98.4700012207031,699800,85.4013366699219,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-17",98.4000015258789,99.2399978637695,98.0599975585938,99.0400009155273,1855000,85.8956680297852,NA,NA,NA,84.6872628529867,NA,NA,NA,NA
"2020-01-21",99.1500015258789,101.150001525879,98.9599990844727,100.589996337891,1115200,87.2399597167969,NA,NA,NA,85.079985447419,NA,NA,NA,NA
